"Faj";"Csorhossz";"Fogsag";"Csorhossz_kat";"csormeret_ujramert"
"1";"harkalypinty_fogs9";36.5467208995786;9;"kozepes";"NA"
"2";"vegetarianus_pinty";15.26;NA;"kicsi";"NA"
"3";"harkalypinty_fogs11";38.200210347023;11;"nagy";"NA"
"4";"vegetarianus_pinty";16.07;NA;"kicsi";"NA"
"5";"harkalypinty_fogs7";36.6640677226037;7;"kozepes";"NA"
"6";"harkalypinty_fogs3";34.9877420527121;3;"kozepes";"NA"
"7";"harkalypinty_fogs15";39.4624843439509;15;"nagy";"NA"
"8";"harkalypinty_fogs3";33.2505523671484;3;"kicsi";"NA"
"9";"hegyescsoru_foldipinty";21.05;NA;"kicsi";"NA"
"10";"harkalypinty_fogs9";38.1561507145842;9;"nagy";"NA"
"11";"harkalypinty_fogs13";37.7768996101844;13;"kozepes";"NA"
"12";"harkalypinty_fogs5";34.7056155390754;5;"kozepes";"NA"
"13";"harkalypinty_fogs11";39.3493716373802;11;"nagy";"NA"
"14";"harkalypinty_fogs15";40.2433694932073;15;"nagy";"NA"
"15";"harkalypinty_fogs9";36.7512937919384;9;"kozepes";"NA"
"16";"hegyescsoru_foldipinty";23.7;NA;"kicsi";"NA"
"17";"hegyescsoru_foldipinty";26.04;NA;"kicsi";"NA"
"18";"harkalypinty_fogs5";36.9340696712243;5;"kozepes";"NA"
"19";"harkalypinty";29.46;NA;"kicsi";"32"
"20";"harkalypinty_fogs1";34.33;1;"kozepes";"NA"
"21";"harkalypinty_fogs9";36.5179039934398;9;"kozepes";"NA"
"22";"hegyescsoru_foldipinty";25.85;NA;"kicsi";"NA"
"23";"harkalypinty_fogs9";37.4312029450781;9;"kozepes";"NA"
"24";"harkalypinty_fogs13";37.5270682520626;13;"kozepes";"NA"
"25";"vegetarianus_pinty";16.35;NA;"kicsi";"NA"
"26";"nagy_foldipinty";29.63;NA;"kicsi";"NA"
"27";"harkalypinty_fogs3";34.8506394937273;3;"kozepes";"NA"
"28";"harkalypinty_fogs5";35.3727006407036;5;"kozepes";"NA"
"29";"harkalypinty";28.05;NA;"kicsi";"30"
"30";"harkalypinty_fogs13";35.2342334213313;13;"kozepes";"NA"
"31";"nagy_foldipinty";32.05;NA;"kicsi";"NA"
"32";"harkalypinty_fogs9";37.9536637262169;9;"kozepes";"NA"
"33";"harkalypinty_fogs5";34.6694046248324;5;"kozepes";"NA"
"34";"vegetarianus_pinty";16.4;NA;"kicsi";"NA"
"35";"harkalypinty_fogs13";38.7765258353475;13;"nagy";"NA"
"36";"nagy_foldipinty";29.26;NA;"kicsi";"NA"
"37";"harkalypinty_fogs1";32.92;1;"kicsi";"NA"
"38";"harkalypinty_fogs5";37.3295519367468;5;"kozepes";"NA"
"39";"harkalypinty_fogs13";38.7271576346021;13;"nagy";"NA"
"40";"harkalypinty_fogs13";39.8322097509195;13;"nagy";"NA"
"41";"harkalypinty_fogs9";37.0286209149399;9;"kozepes";"NA"
"42";"vegetarianus_pinty";15.52;NA;"kicsi";"NA"
"43";"harkalypinty_fogs7";34.4283303249668;7;"kozepes";"NA"
"44";"vegetarianus_pinty";15.91;NA;"kicsi";"NA"
"45";"nagy_foldipinty";34.56;NA;"kozepes";"NA"
"46";"harkalypinty_fogs3";35.6299710905141;3;"kozepes";"NA"
"47";"harkalypinty_fogs1";33.46;1;"kicsi";"NA"
"48";"harkalypinty_fogs5";35.1737898403911;5;"kozepes";"NA"
"49";"harkalypinty_fogs5";34.6932795061706;5;"kozepes";"NA"
"50";"harkalypinty_fogs7";34.9862610714623;7;"kozepes";"NA"
"51";"harkalypinty_fogs5";35.9995834359497;5;"kozepes";"NA"
"52";"harkalypinty_fogs13";39.2342307482529;13;"nagy";"NA"
"53";"harkalypinty_fogs13";37.9302398834724;13;"kozepes";"NA"
"54";"harkalypinty_fogs11";38.8232684416749;11;"nagy";"NA"
"55";"kis_foldipinty";26.08;NA;"kicsi";"NA"
"56";"harkalypinty_fogs3";34.5478695369607;3;"kozepes";"NA"
"57";"harkalypinty_fogs3";36.2142194674219;3;"kozepes";"NA"
"58";"harkalypinty_fogs9";38.635339830175;9;"nagy";"NA"
"59";"hegyescsoru_foldipinty";24.24;NA;"kicsi";"NA"
"60";"harkalypinty_fogs5";35.7505905334821;5;"kozepes";"NA"
"61";"kis_foldipinty";22.2;NA;"kicsi";"NA"
"62";"vegetarianus_pinty";15.79;NA;"kicsi";"NA"
"63";"nagy_foldipinty";29.68;NA;"kicsi";"NA"
"64";"harkalypinty_fogs3";33.3452191049267;3;"kicsi";"NA"
"65";"harkalypinty_fogs5";36.812662783417;5;"kozepes";"NA"
"66";"harkalypinty_fogs9";33.9055433720662;9;"kicsi";"NA"
"67";"harkalypinty_fogs13";37.2248496271087;13;"kozepes";"NA"
"68";"harkalypinty_fogs15";38.2202637782029;15;"nagy";"NA"
"69";"harkalypinty_fogs7";36.8165001328386;7;"kozepes";"NA"
"70";"harkalypinty_fogs11";39.1328933009137;11;"nagy";"NA"
"71";"harkalypinty_fogs11";36.7883726707532;11;"kozepes";"NA"
"72";"harkalypinty_fogs3";35.1835146491;3;"kozepes";"NA"
"73";"nagy_foldipinty";33.05;NA;"kicsi";"NA"
"74";"harkalypinty_fogs13";37.004999788023;13;"kozepes";"NA"
"75";"harkalypinty_fogs9";33.5471005111163;9;"kicsi";"NA"
"76";"harkalypinty_fogs3";33.7674083248365;3;"kicsi";"NA"
"77";"harkalypinty";31.57;NA;"kicsi";"31"
"78";"hegyescsoru_foldipinty";22.32;NA;"kicsi";"NA"
"79";"harkalypinty_fogs1";33.99;1;"kicsi";"NA"
"80";"hegyescsoru_foldipinty";25.62;NA;"kicsi";"NA"
"81";"harkalypinty_fogs9";37.3043174011024;9;"kozepes";"NA"
"82";"vegetarianus_pinty";16.23;NA;"kicsi";"NA"
"83";"harkalypinty_fogs3";33.9832714782184;3;"kicsi";"NA"
"84";"harkalypinty_fogs13";38.3116155423221;13;"nagy";"NA"
"85";"nagy_foldipinty";35.04;NA;"kozepes";"NA"
"86";"harkalypinty";29.89;NA;"kicsi";"29"
"87";"harkalypinty_fogs1";32.97;1;"kicsi";"NA"
"88";"harkalypinty_fogs5";34.505505620065;5;"kozepes";"NA"
