Image Name	mesure ID	Cell culture	vesicle type	Area (nm2)	Perimeter (nm)	Extent Inner Max (nm)
Tv1	1	TD_MPS1.3	Prim	3123,38	221,95	82,9
Tv1	2	TD_MPS1.3	Prim	6306,78	299,95	105,29
Tv1	3	TD_MPS1.3	Prim	2034,63	175,61	61,67
Tv1	4	TD_MPS1.3	Prim	2220,38	190,87	77,84
Tv1	5	TD_MPS1.3	Prim	6303,92	362,52	136,55
Tv1	6	TD_MPS1.3	Prim	3780,64	249,75	99,32
Tv3	1	TD_MPS1.3	Prim	23372,52	583,65	202,73
Tv3	2	TD_MPS1.3	Prim	3440,58	227,48	85,64
Tv3	3	TD_MPS1.3	Prim	6249,63	300,94	112,32
Tv3	4	TD_MPS1.3	Prim	8901,5	382,56	145,74
Tv3	5	TD_MPS1.3	Prim	14693,91	461,56	161,64
Tv3	6	TD_MPS1.3	Prim	9804,51	371,84	123,41
Tv5	1	TD_MPS1.3	Prim	5146,58	279,67	104,16
Tv5	2	TD_MPS1.3	Prim	4060,69	252,55	100,15
Tv5	3	TD_MPS1.3	Prim	6446,8	331,61	133,29
Tv5	4	TD_MPS1.3	Prim	16139,87	475,9	160,05
Tv8	1	TD_MPS1.3	Prim	175761,12	1728,85	683,76
Tv13	1	TD_MPS1.3	Prim	87623,38	1215,65	479,37
Tv13	2	TD_MPS1.3	Prim	41338,41	773,53	271,16
Tv13	3	TD_MPS1.3	Prim	18494,55	521,32	185,21
Tv13	4	TD_MPS1.3	Prim	35080,21	854,36	342,43
Tv15	1	TD_MPS1.3	Prim	3486,3	224,75	77,84
Tv15	2	TD_MPS1.3	Prim	8498,58	514,49	166,14
Tv15	3	TD_MPS1.3	Prim	4632,21	284,79	113,31
Tv15	4	TD_MPS1.3	Prim	11379,07	412	149,83
Tv15	5	TD_MPS1.3	Prim	9867,38	525,93	176,71
Tv15	6	TD_MPS1.3	Prim	8215,67	417,53	164,86
Tv15	7	TD_MPS1.3	Prim	3943,52	282,06	107,94
Tv15	8	TD_MPS1.3	Prim	3652,05	244,05	94,2
Tv15	9	TD_MPS1.3	Prim	22158,03	656,05	223,46
Tv15	10	TD_MPS1.3	Prim	2934,78	198,86	68,17
Tv15	11	TD_MPS1.3	Prim	2651,88	200,43	66,96
Tv15	12	TD_MPS1.3	Prim	7924,2	439,22	169,87
Tv15	13	TD_MPS1.3	Prim	10461,77	389,33	135,41
